Mode,NLC,ASC,Station,Coverage,Source,Weekday (Mon-Thu) Entries,Friday Entries,Saturday Entries,Sunday Entries,Weekday (Mon-Thu) Exits,Friday Exits,Saturday Exits,Sunday Exits,Annualised En/Ex,year
LU,639,MANu,Mansion House,Station entry / exit,Gateline,"5,620","4,132","2,716","1,718","5,840","4,437","2,835","1,575","2,088,948","2,021"
LU,640,MARu,Marble Arch,Station entry / exit,Gateline,"12,557","11,091","11,143","8,060","12,221","10,790","10,792","7,764","5,242,933","2,021"
LU,641,MYBu,Marylebone LU,Station entry / exit,Gateline,"10,134","10,219","9,673","7,064","10,824","10,659","10,185","7,585","4,597,698","2,021"
LU,642,MLEu,Mile End,Station entry / exit,Gateline,"15,587","16,935","13,318",9550.8,"15,255","15,807","12,549",9668.2,"6,644,477","2,021"
LU,643,MHEu,Mill Hill East,Station entry / exit,Scaled,"2,119","2,000",1207.513408,819.7561569,"1,757","1,649",1056.086692,917.5540427,"764,644","2,021"
LU,646,MPKu,Moor Park,Station entry / exit,Gateline,"1,244","1,222",560,320,"1,212","1,171",568,359,"463,133","2,021"
LU,645,MGTu,Moorgate,Station entry / exit,Gateline,"23,726","17,694",8851.285714,5404,"25,859","19,822",10244.14286,5802.375,"8,789,962","2,021"
LU,647,MORu,Morden,Station entry / exit,Gateline,"10,547","10,634","9,364","6,287","10,168","9,947","8,665","6,108","4,421,002","2,021"
LU,648,MCRu,Mornington Crescent,Station entry / exit,Gateline,"3,722","3,280","3,050",1788.6,"3,421","2,917","2,179",1373.4,"1,425,296","2,021"
LU,649,NEAu,Neasden,Station entry / exit,Gateline,"3,977","3,987","2,817","1,909","3,670","3,612","2,591","1,857","1,564,012","2,021"
LU,650,NEPu,Newbury Park,Station entry / exit,Gateline,5678.888889,5563.6,4233.111111,2968.7,5071.5,4890.2,3725.222222,2790.3,"2,218,404","2,021"
LU,653,NACu,North Acton,Station entry / exit,Gateline,7728.105263,7717.777778,5744.5,3881.857143,7600.473684,7357.111111,5394.333333,3927.428571,"3,148,552","2,021"
LU,654,NELu,North Ealing,Station entry / exit,Gateline,894,937,644,410,851,853,606,400,"357,588","2,021"
LU,789,NOGu,North Greenwich,Station entry / exit,Gateline,"22,040","25,208","30,109","23,155","22,936","26,656","31,943","24,568","11,279,522","2,021"
LU,656,NHRu,North Harrow,Station entry / exit,Gateline,"2,006","1,881",1279.428571,746,"1,917","1,734",1200.428571,762.2857143,"769,257","2,021"
LU,659,NWBu,North Wembley,Station entry / exit,Gateline,"1,974","1,971","1,346",903.5555556,"1,878","1,838","1,225",891.1111111,"778,946","2,021"
LU,655,NFDu,Northfields,Station entry / exit,Gateline,"3,876","3,819","3,102","2,223","3,851","3,777","3,173","2,384","1,630,938","2,021"
LU,657,NHTu,Northolt,Station entry / exit,Gateline,"6,092","6,117","4,695","3,044","5,870","5,745","4,282","2,986","2,467,440","2,021"
LU,660,NWPu,Northwick Park,Station entry / exit,Gateline,4726.578947,4656.714286,2778.666667,1854.777778,4633.263158,4379.571429,2623.166667,1869.666667,"1,836,276","2,021"
LU,661,NWDu,Northwood,Station entry / exit,Gateline,"3,244","3,140","2,041","1,220","3,263","3,039","1,906","1,220","1,274,615","2,021"
LU,662,NWHu,Northwood Hills,Station entry / exit,Gateline,"2,100","2,135",1430.166667,873,"2,024",2022.7,1325.666667,898.1111111,"831,677","2,021"
LU,663,NHGu,Notting Hill Gate,Station entry / exit,Gateline,"13,933","14,538",15912.75,9544.444444,"14,054","14,877",17094.125,10003.22222,"6,404,193","2,021"
LU,664,OAKu,Oakwood,Station entry / exit,Gateline,"2,846","2,923","2,963",2030.7,"2,919","2,943","3,011",2156.5,"1,290,796","2,021"
LU,665,OLDu,Old Street,Station entry / exit,Gateline,"22,410","22,149","18,726","11,628","22,936","24,787","21,652","11,427","9,635,310","2,021"
LU,667,OSTu,Osterley,Station entry / exit,Gateline,"2,138","2,077","1,915",1335.111111,"2,148","1,972","1,784",1369.111111,"911,252","2,021"
LU,668,OVLu,Oval,Station entry / exit,Gateline,"7,472","7,685",6537.272727,4546.363636,"7,190","7,071",5892.454545,4371.363636,"3,129,276","2,021"
LU,669,OXCu,Oxford Circus,Station entry / exit,Gateline,"69,643","68,935",68292.88889,43806.9,"77,884","83,539",90458.77778,49947.1,"32,863,152","2,021"
LU,670,PADu,Paddington TfL,Station entry / exit,Gateline,"44,560","48,077","47,618","37,271","43,945","49,272","46,532","36,045","20,437,217","2,021"
LU,671,PRYu,Park Royal,Station entry / exit,Gateline,"2,186","2,201",1682.222222,1101,"2,248","2,325",1722,1039.444444,"918,333","2,021"
LU,672,PGRu,Parsons Green,Station entry / exit,Gateline,"7,538","7,135","5,486","3,483","7,344","6,689","4,912","3,422","2,993,897","2,021"
LU,673,PERu,Perivale,Station entry / exit,Gateline,"2,685",2595.555556,1885.777778,1199.555556,2670.55,2534.555556,1848.555556,1242.555556,"1,080,893","2,021"
LU,674,PICu,Piccadilly Circus,Station entry / exit,Gateline,"29,006","32,492","40,419","26,575","27,935","34,536","42,820","23,694","14,144,793","2,021"
LU,776,PIMu,Pimlico,Station entry / exit,Gateline,"9,857","9,393","7,814","5,576","9,690","9,001","7,491","5,439","4,058,878","2,021"
LU,675,PINu,Pinner,Station entry / exit,Scaled,"3,109","3,148","2,478","1,627","3,052","2,806","2,451","1,633","1,280,875","2,021"
